epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8328.23,1.20545,0.78154,0.00601,0.74794,0.70776,0.72719,0.48477,1.05182,0.63214,0.00716,0.005842,0.005842,0.005842
44,8492.05,1.2004,0.77669,0.00599,0.74837,0.70848,0.72885,0.48601,1.05039,0.63111,0.00715,0.005743,0.005743,0.005743
45,8656.69,1.19794,0.77271,0.00598,0.75225,0.70672,0.72978,0.48704,1.04998,0.62891,0.00714,0.005644,0.005644,0.005644
46,8821.82,1.19453,0.76689,0.00593,0.74831,0.70958,0.73057,0.48764,1.04918,0.62785,0.00713,0.005545,0.005545,0.005545
47,8985.96,1.19791,0.76654,0.00592,0.75841,0.70358,0.73107,0.48824,1.048,0.62629,0.00713,0.005446,0.005446,0.005446
48,9199.5,1.19593,0.76389,0.00592,0.75688,0.70562,0.73228,0.48941,1.04748,0.62441,0.00712,0.005347,0.005347,0.005347
49,9453.21,1.18867,0.75689,0.00591,0.75483,0.70801,0.73312,0.49046,1.0469,0.62218,0.00711,0.005248,0.005248,0.005248
50,9620.97,1.1893,0.75665,0.00589,0.75559,0.70874,0.73391,0.49125,1.0462,0.6202,0.0071,0.005149,0.005149,0.005149
51,9783.32,1.18323,0.75219,0.00584,0.75425,0.71125,0.73475,0.49216,1.04525,0.61865,0.00709,0.00505,0.00505,0.00505
52,9944.91,1.18032,0.74369,0.00582,0.7548,0.71275,0.73618,0.49343,1.04435,0.61673,0.00708,0.004951,0.004951,0.004951
53,10113.3,1.17925,0.73891,0.00581,0.75431,0.71442,0.73668,0.49384,1.04346,0.61605,0.00707,0.004852,0.004852,0.004852
54,10311.8,1.17411,0.73723,0.00581,0.75415,0.71459,0.73771,0.49467,1.04307,0.61426,0.00707,0.004753,0.004753,0.004753
55,10494.3,1.1739,0.73819,0.00576,0.75581,0.71397,0.73841,0.49557,1.04227,0.61292,0.00706,0.004654,0.004654,0.004654
56,10677.8,1.16914,0.73375,0.00572,0.75567,0.71439,0.73935,0.49635,1.04146,0.61177,0.00705,0.004555,0.004555,0.004555
57,10853.5,1.16726,0.72948,0.00572,0.75541,0.71476,0.74035,0.49721,1.04086,0.61016,0.00705,0.004456,0.004456,0.004456
58,11016.7,1.16787,0.72692,0.00572,0.75763,0.71588,0.74107,0.49785,1.04027,0.60887,0.00704,0.004357,0.004357,0.004357
59,11209.4,1.16373,0.72689,0.0057,0.75968,0.71691,0.74162,0.49861,1.03918,0.608,0.00703,0.004258,0.004258,0.004258
60,11464.8,1.15961,0.72291,0.00566,0.75838,0.71812,0.74241,0.49912,1.03837,0.607,0.00702,0.004159,0.004159,0.004159
61,11695.1,1.15539,0.71701,0.00564,0.75958,0.71785,0.74298,0.49979,1.03781,0.60551,0.00701,0.00406,0.00406,0.00406
62,11929.9,1.15394,0.71465,0.00561,0.75931,0.71846,0.74333,0.50027,1.0374,0.60433,0.00701,0.003961,0.003961,0.003961
63,12165,1.1488,0.70766,0.00561,0.7579,0.72153,0.74444,0.50122,1.03646,0.60342,0.007,0.003862,0.003862,0.003862
64,12329.4,1.15079,0.70752,0.00559,0.75897,0.72078,0.74528,0.50202,1.03596,0.60194,0.00699,0.003763,0.003763,0.003763
65,12497.3,1.14652,0.70476,0.00555,0.75844,0.72245,0.74604,0.50285,1.0349,0.6012,0.00698,0.003664,0.003664,0.003664
66,12664.3,1.14578,0.70095,0.00554,0.76167,0.7212,0.7472,0.50368,1.03435,0.59987,0.00698,0.003565,0.003565,0.003565
67,12830.9,1.14103,0.69534,0.00553,0.76042,0.72229,0.74807,0.5044,1.03343,0.59887,0.00697,0.003466,0.003466,0.003466
68,12998.1,1.14007,0.69731,0.00552,0.76277,0.72119,0.74897,0.50519,1.03274,0.59771,0.00696,0.003367,0.003367,0.003367
69,13162.8,1.13482,0.69166,0.0055,0.76174,0.72329,0.74986,0.50611,1.03211,0.59614,0.00695,0.003268,0.003268,0.003268
70,13329,1.13654,0.68921,0.00547,0.76514,0.72223,0.75056,0.50708,1.03163,0.59479,0.00695,0.003169,0.003169,0.003169
71,13541.2,1.12841,0.68644,0.00547,0.76514,0.72298,0.75152,0.50783,1.03097,0.5937,0.00694,0.00307,0.00307,0.00307
72,13810.7,1.12886,0.68227,0.00544,0.76539,0.72332,0.75217,0.50859,1.03025,0.59336,0.00694,0.002971,0.002971,0.002971
73,14074.7,1.12937,0.68194,0.00544,0.767,0.72228,0.75247,0.50918,1.02933,0.59264,0.00693,0.002872,0.002872,0.002872
74,14258.2,1.12889,0.68003,0.00544,0.76702,0.72282,0.75309,0.51011,1.02865,0.59153,0.00692,0.002773,0.002773,0.002773
75,14433.6,1.12128,0.67438,0.00539,0.77029,0.72009,0.75349,0.51054,1.02814,0.59012,0.00692,0.002674,0.002674,0.002674
76,14627.4,1.1178,0.67151,0.0054,0.76918,0.72188,0.75385,0.51111,1.02739,0.58944,0.00691,0.002575,0.002575,0.002575
77,14818.4,1.11727,0.66939,0.00535,0.76843,0.72414,0.75441,0.51163,1.02662,0.58844,0.0069,0.002476,0.002476,0.002476
78,15057,1.11681,0.66776,0.00536,0.77191,0.72346,0.75502,0.51261,1.0257,0.58763,0.0069,0.002377,0.002377,0.002377
79,15313.4,1.11094,0.66372,0.00534,0.77156,0.72556,0.75615,0.51339,1.02514,0.58661,0.00689,0.002278,0.002278,0.002278
80,15562,1.10856,0.65882,0.00528,0.77039,0.72674,0.75652,0.51355,1.02432,0.58659,0.00688,0.002179,0.002179,0.002179
81,15808,1.10684,0.66123,0.00527,0.7757,0.72421,0.75651,0.51371,1.02364,0.58575,0.00688,0.00208,0.00208,0.00208
82,15973.4,1.10217,0.65551,0.00525,0.77856,0.72378,0.75753,0.5145,1.02288,0.5848,0.00688,0.001981,0.001981,0.001981
83,16137.8,1.09797,0.64885,0.00523,0.77441,0.72886,0.75782,0.51489,1.02275,0.58342,0.00688,0.001882,0.001882,0.001882
84,16302.9,1.09954,0.64943,0.0052,0.7751,0.73112,0.75914,0.51571,1.02198,0.5825,0.00687,0.001783,0.001783,0.001783
85,16467.7,1.09848,0.6477,0.00522,0.7754,0.73149,0.75986,0.51637,1.0214,0.58155,0.00687,0.001684,0.001684,0.001684
86,16632.5,1.09142,0.64261,0.00513,0.77654,0.73148,0.76038,0.51701,1.02101,0.58026,0.00686,0.001585,0.001585,0.001585
87,16797,1.09424,0.64253,0.00519,0.77853,0.73163,0.76119,0.5177,1.02025,0.57945,0.00685,0.001486,0.001486,0.001486
88,16961.8,1.08578,0.63719,0.00509,0.78032,0.7316,0.76203,0.51863,1.01938,0.57885,0.00684,0.001387,0.001387,0.001387
89,17126.7,1.08552,0.6355,0.00511,0.78005,0.73236,0.76209,0.51906,1.01896,0.57758,0.00684,0.001288,0.001288,0.001288
90,17291.3,1.08907,0.63789,0.00509,0.77954,0.73418,0.76298,0.5197,1.01853,0.5765,0.00683,0.001189,0.001189,0.001189
91,17464.2,1.01484,0.54154,0.00532,0.78216,0.7335,0.76427,0.52053,1.01781,0.57608,0.00682,0.00109,0.00109,0.00109
92,17624.7,1.00614,0.53355,0.00527,0.7813,0.73526,0.76432,0.52098,1.01731,0.57463,0.00681,0.000991,0.000991,0.000991
93,17793,1.00252,0.52906,0.00523,0.78095,0.73758,0.76512,0.52182,1.01652,0.57337,0.0068,0.000892,0.000892,0.000892
94,17960.8,0.99841,0.52728,0.00518,0.78093,0.73753,0.76596,0.52258,1.01636,0.57163,0.0068,0.000793,0.000793,0.000793
95,18120.7,0.9915,0.52151,0.00514,0.78339,0.73669,0.76645,0.52306,1.01529,0.57095,0.00679,0.000694,0.000694,0.000694
96,18279.2,0.98957,0.52006,0.00513,0.78508,0.73645,0.76688,0.52359,1.01444,0.57032,0.00677,0.000595,0.000595,0.000595
97,18437.3,0.98677,0.51825,0.00512,0.78515,0.7377,0.76744,0.52427,1.0137,0.56925,0.00676,0.000496,0.000496,0.000496
98,18594.5,0.98316,0.51466,0.00506,0.78663,0.73661,0.76807,0.52503,1.01317,0.56783,0.00676,0.000397,0.000397,0.000397
99,18751.9,0.98204,0.51261,0.00506,0.78878,0.73611,0.76848,0.52556,1.01253,0.56648,0.00675,0.000298,0.000298,0.000298
100,18910,0.98032,0.51095,0.00505,0.78659,0.73906,0.76914,0.52623,1.0116,0.56527,0.00674,0.000199,0.000199,0.000199
