epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.922,3.26926,4.25103,3.61162,0.706,0.07975,0.07202,0.02632,0.0332,2.38361,2.75547,2.74087,0.00332508,0.00332508,0.00332508
2,468.814,2.05254,2.36746,2.2243,0.56944,0.22651,0.20616,0.11586,0.11381,1.73409,1.92888,1.98612,0.0065925,0.0065925,0.0065925
3,626.254,1.64694,1.75106,1.76328,0.54263,0.31878,0.29379,0.17523,0.16811,1.48725,1.64501,1.69755,0.00979391,0.00979391,0.00979391
4,783.692,1.43019,1.40393,1.55417,0.56255,0.3971,0.3779,0.22407,0.21985,1.30686,1.23226,1.53287,0.009703,0.009703,0.009703
5,940.342,1.30311,1.17122,1.44113,0.59249,0.44309,0.43786,0.26826,0.26099,1.22819,1.0276,1.45051,0.009604,0.009604,0.009604
6,1097.34,1.24145,1.06075,1.3907,0.56888,0.47336,0.46135,0.28283,0.27747,1.17515,0.98092,1.39806,0.009505,0.009505,0.009505
7,1253.67,1.19762,0.98795,1.35522,0.63972,0.50756,0.51024,0.31437,0.30774,1.13604,0.90324,1.36404,0.009406,0.009406,0.009406
8,1410.55,1.16319,0.94013,1.33011,0.65515,0.53284,0.53163,0.32876,0.32238,1.10632,0.86997,1.33659,0.009307,0.009307,0.009307
9,1568.15,1.14421,0.91066,1.31314,0.66485,0.54303,0.5533,0.34829,0.33929,1.08309,0.83507,1.31609,0.009208,0.009208,0.009208
10,1724.13,1.12133,0.88082,1.29759,0.65852,0.56161,0.57124,0.36155,0.35198,1.05979,0.8106,1.29401,0.009109,0.009109,0.009109
11,1879.9,1.10402,0.85585,1.28293,0.64712,0.58203,0.58912,0.37818,0.36683,1.04498,0.78271,1.27859,0.00901,0.00901,0.00901
12,2036.91,1.09106,0.84128,1.27244,0.65867,0.59535,0.60268,0.38971,0.378,1.03401,0.76004,1.27074,0.008911,0.008911,0.008911
13,2194,1.08107,0.82531,1.26529,0.67325,0.59865,0.61,0.39519,0.38259,1.02001,0.75162,1.25722,0.008812,0.008812,0.008812
14,2351.09,1.07127,0.80945,1.25406,0.67022,0.61581,0.62452,0.41501,0.39679,0.99954,0.72573,1.24184,0.008713,0.008713,0.008713
15,2511.63,1.05663,0.79472,1.24597,0.67225,0.6288,0.63448,0.4211,0.40257,0.99562,0.72181,1.23567,0.008614,0.008614,0.008614
16,2669.33,1.05325,0.78781,1.24086,0.69624,0.63735,0.64905,0.43176,0.41526,0.98188,0.70385,1.22382,0.008515,0.008515,0.008515
17,2826.29,1.04153,0.77416,1.23394,0.70433,0.63391,0.64986,0.43577,0.41691,0.9749,0.69437,1.21579,0.008416,0.008416,0.008416
18,2983.04,1.03332,0.762,1.2267,0.7048,0.65007,0.66311,0.44709,0.42641,0.96764,0.68415,1.21054,0.008317,0.008317,0.008317
19,3140.93,1.02978,0.75801,1.2248,0.70338,0.65313,0.66378,0.44651,0.42685,0.95655,0.68026,1.2019,0.008218,0.008218,0.008218
20,3298.4,1.0227,0.7491,1.21796,0.71865,0.65627,0.66974,0.45825,0.43476,0.95188,0.66955,1.19741,0.008119,0.008119,0.008119
21,3456.12,1.01778,0.74408,1.21693,0.71308,0.6637,0.67794,0.46319,0.44099,0.94619,0.65945,1.19323,0.00802,0.00802,0.00802
22,3616.2,1.01027,0.73434,1.20962,0.73,0.66673,0.68523,0.46853,0.44753,0.94178,0.65274,1.18815,0.007921,0.007921,0.007921
23,3799.06,1.00696,0.72794,1.20745,0.72001,0.67443,0.68787,0.47172,0.44837,0.93491,0.64686,1.18168,0.007822,0.007822,0.007822
24,4004.03,1.00174,0.72449,1.20464,0.72919,0.67698,0.69278,0.47893,0.45307,0.93183,0.64367,1.17717,0.007723,0.007723,0.007723
25,4167.56,0.99886,0.72072,1.20135,0.73241,0.6766,0.69505,0.47872,0.45513,0.92452,0.63735,1.1731,0.007624,0.007624,0.007624
