epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,9770.88,0.91315,0.61871,1.15148,0.76875,0.73978,0.75224,0.537,0.50821,0.85803,0.55352,1.13397,0.006139,0.006139,0.006139
41,9999.56,0.91276,0.61542,1.149,0.7684,0.74209,0.75424,0.53768,0.50937,0.85723,0.55193,1.13322,0.00604,0.00604,0.00604
42,10227.7,0.9077,0.61515,1.14691,0.76888,0.74313,0.75586,0.5395,0.51071,0.85615,0.55068,1.13239,0.005941,0.005941,0.005941
43,10455.6,0.90603,0.61092,1.14353,0.76934,0.74348,0.75691,0.53982,0.51153,0.85526,0.54955,1.13155,0.005842,0.005842,0.005842
44,10684.5,0.90328,0.60744,1.14197,0.7702,0.74396,0.75751,0.541,0.51247,0.85442,0.54825,1.13094,0.005743,0.005743,0.005743
45,10912.9,0.90328,0.60774,1.14243,0.76911,0.74549,0.75821,0.54247,0.51311,0.85362,0.54732,1.13024,0.005644,0.005644,0.005644
46,11141.3,0.90304,0.6045,1.14249,0.77147,0.74759,0.75835,0.54365,0.51367,0.85289,0.54615,1.12963,0.005545,0.005545,0.005545
47,11370.5,0.89845,0.60221,1.14013,0.7713,0.74919,0.75888,0.54453,0.51446,0.85227,0.54516,1.12912,0.005446,0.005446,0.005446
48,11599.6,0.89705,0.59946,1.13925,0.77246,0.74976,0.75949,0.5443,0.51496,0.85183,0.54415,1.1287,0.005347,0.005347,0.005347
49,11829.4,0.89296,0.5969,1.13678,0.77454,0.74903,0.76002,0.54445,0.5155,0.85126,0.54321,1.12821,0.005248,0.005248,0.005248
50,12058.1,0.88933,0.59462,1.13495,0.77603,0.74799,0.76082,0.54609,0.51635,0.85066,0.54244,1.12768,0.005149,0.005149,0.005149
51,12286.3,0.8893,0.59072,1.13489,0.77699,0.74839,0.76122,0.54733,0.517,0.84997,0.54153,1.12723,0.00505,0.00505,0.00505
52,12514.4,0.88681,0.58958,1.1331,0.77714,0.75,0.76205,0.54775,0.51747,0.8493,0.54082,1.12664,0.004951,0.004951,0.004951
53,12742.4,0.88234,0.58598,1.13075,0.77713,0.7502,0.76273,0.54835,0.51804,0.84869,0.54016,1.12619,0.004852,0.004852,0.004852
54,12970.6,0.88049,0.58437,1.12754,0.77776,0.75122,0.76322,0.54917,0.51863,0.8482,0.53931,1.1257,0.004753,0.004753,0.004753
55,13199.1,0.88094,0.58222,1.12942,0.77911,0.75065,0.76398,0.54953,0.51919,0.84765,0.53849,1.12527,0.004654,0.004654,0.004654
56,13426.9,0.87925,0.58294,1.12945,0.77974,0.75076,0.76399,0.54979,0.51956,0.84703,0.53759,1.12484,0.004555,0.004555,0.004555
57,13655.5,0.87732,0.57989,1.12774,0.78111,0.75113,0.76457,0.5498,0.52013,0.84647,0.53704,1.12432,0.004456,0.004456,0.004456
58,13884.1,0.87321,0.57606,1.12535,0.78122,0.75101,0.76541,0.55164,0.52102,0.84578,0.53629,1.12373,0.004357,0.004357,0.004357
59,14112.5,0.8753,0.57572,1.12526,0.78026,0.7516,0.76569,0.5515,0.52143,0.84524,0.53557,1.12319,0.004258,0.004258,0.004258
60,14341.1,0.87047,0.57161,1.12087,0.78295,0.7504,0.7667,0.55229,0.52217,0.84467,0.53477,1.1227,0.004159,0.004159,0.004159
61,14569.5,0.87135,0.57368,1.12212,0.78172,0.75191,0.7671,0.55323,0.52279,0.84415,0.53393,1.12217,0.00406,0.00406,0.00406
62,14798.1,0.86499,0.56595,1.11712,0.78206,0.75175,0.76732,0.55419,0.52331,0.84357,0.53323,1.12171,0.003961,0.003961,0.003961
