epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/badge,val/AP/downcloth,val/AP/downsuit,val/AP/fence,val/AP/fhalt,val/AP/glove,val/AP/googles,val/AP/hair,val/AP/halt,val/AP/hand,val/AP/inear,val/AP/intosign,val/AP/longglove,val/AP/meshfence,val/AP/noear,val/AP/operatingbar,val/AP/outear,val/AP/person,val/AP/redrope,val/AP/safebelt,val/AP/shoe,val/AP/sleeve,val/AP/smoke,val/AP/support,val/AP/testpen,val/AP/testrod,val/AP/unhalt,val/AP/upcloth,val/AP/upsuit,val/AP/wglove,val/AP/whiteglove,val/AP/worksign,val/AP/wrongbottom,val/AP/wronghold,val/AP/wrongsuit,val/AP/wrongtop,val/AP/ydownsuit,val/AP/yupsuit,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,999,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1049,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1099,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1199,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1249,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1299,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1349,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1399,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1449,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1499,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1549,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1599,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1613,,,,,,,,,,,,,,,,,,0.13403746485710144,0.2543548047542572,0.23994530737400055,0.03308308497071266,0.0029306630603969097,0.00011906299187103286,0.000279070547549054,0.032214440405368805,0.46386197209358215,0.037777747958898544,0.04004685580730438,0.3603743314743042,0.06163408234715462,0.020764095708727837,0.01434914581477642,0.02162286639213562,0.11324615031480789,0.35854947566986084,0.04490222409367561,0.04464450851082802,0.15959778428077698,2.8583332095877267e-05,0.0016843241173774004,0.03383374586701393,2.250225043098908e-05,0.0036155558191239834,0.15940764546394348,0.267373263835907,0.2995035946369171,0.003591545158997178,0.01500460971146822,0.06366059184074402,0.029380055144429207,0.00016537219926249236,0.0035827504470944405,0.004115687683224678,0.042598314583301544,0.08748984336853027,0.1999521702528,0.19137383997440338,0.09355270117521286,0.28895217180252075,6.513202667236328,0.1899644434452057,0.09087876975536346,0.07881148904561996,0.28268033266067505,0.2519436478614807,0.2531571686267853
1,1613,3890.87451171875,3890.285400390625,3699.885986328125,26.364425659179688,6.8770365715026855,0.09818626940250397,0.10091578960418701,0.10583456605672836,0.8527672290802002,0.8593450784683228,0.8606870770454407,0.4483543634414673,0.4576365351676941,0.4837893545627594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
