epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,14813.1,0.99414,0.71966,1.26163,0.75915,0.73487,0.75197,0.53169,0.50374,0.93017,0.62433,1.2599,0.006139,0.006139,0.006139
41,15067.7,0.99235,0.71678,1.26003,0.75904,0.73658,0.75297,0.53362,0.50469,0.92892,0.62256,1.25857,0.00604,0.00604,0.00604
42,15300.4,0.98753,0.71377,1.25592,0.75944,0.73769,0.75398,0.53363,0.50531,0.92816,0.62092,1.25753,0.005941,0.005941,0.005941
43,15551,0.98517,0.7089,1.25258,0.75795,0.73928,0.75484,0.53618,0.50619,0.92717,0.61945,1.25641,0.005842,0.005842,0.005842
44,15796,0.98409,0.70561,1.25093,0.75801,0.74014,0.75521,0.53633,0.50654,0.92644,0.61809,1.25534,0.005743,0.005743,0.005743
45,16023.2,0.98276,0.70473,1.24999,0.76012,0.73792,0.75629,0.53735,0.50743,0.9257,0.61687,1.2543,0.005644,0.005644,0.005644
46,16252.5,0.98259,0.70168,1.24972,0.75837,0.74007,0.75688,0.53777,0.50802,0.92488,0.61557,1.25332,0.005545,0.005545,0.005545
47,16952.9,0.97948,0.69949,1.24757,0.76076,0.73985,0.75783,0.53758,0.50838,0.92413,0.61441,1.25242,0.005446,0.005446,0.005446
48,17186.8,0.97855,0.69797,1.24631,0.76144,0.74027,0.7582,0.53772,0.50877,0.92338,0.61326,1.25151,0.005347,0.005347,0.005347
49,17415.4,0.97414,0.69272,1.24363,0.76303,0.74092,0.75911,0.53863,0.50937,0.9226,0.61219,1.25067,0.005248,0.005248,0.005248
50,17642.1,0.97152,0.68963,1.24187,0.76122,0.74252,0.75938,0.53957,0.50988,0.92199,0.61104,1.24999,0.005149,0.005149,0.005149
51,17872.3,0.97181,0.68895,1.24095,0.76139,0.74271,0.75986,0.54042,0.51043,0.92132,0.61008,1.24923,0.00505,0.00505,0.00505
52,18108.6,0.96802,0.68587,1.23877,0.76053,0.74525,0.76067,0.54166,0.51109,0.92077,0.60916,1.2486,0.004951,0.004951,0.004951
53,18334.2,0.96533,0.68191,1.23669,0.76091,0.74518,0.76125,0.54229,0.51164,0.92028,0.6083,1.24788,0.004852,0.004852,0.004852
54,18560.9,0.9633,0.67927,1.23227,0.76268,0.74587,0.76177,0.54325,0.51224,0.9197,0.60735,1.24715,0.004753,0.004753,0.004753
55,18791.6,0.96282,0.6773,1.23369,0.76347,0.74577,0.76202,0.54351,0.51272,0.91915,0.6065,1.24639,0.004654,0.004654,0.004654
56,19040.3,0.96222,0.67872,1.23384,0.76335,0.74748,0.76269,0.54383,0.51314,0.91872,0.60562,1.24568,0.004555,0.004555,0.004555
57,19423.7,0.96136,0.67469,1.23189,0.76304,0.74818,0.76303,0.54469,0.514,0.91832,0.60466,1.24495,0.004456,0.004456,0.004456
58,19678,0.95656,0.67114,1.22961,0.76329,0.74796,0.76353,0.54526,0.5145,0.91773,0.60381,1.24424,0.004357,0.004357,0.004357
59,19932.2,0.95779,0.66989,1.22883,0.76425,0.74786,0.76416,0.54589,0.51488,0.91704,0.60282,1.24337,0.004258,0.004258,0.004258
60,20180.3,0.9541,0.66465,1.22468,0.76466,0.74845,0.76459,0.54625,0.51546,0.91639,0.60175,1.24257,0.004159,0.004159,0.004159
61,20405,0.95358,0.66651,1.22408,0.76615,0.74836,0.76513,0.54651,0.51596,0.91583,0.60081,1.24179,0.00406,0.00406,0.00406
62,20643.6,0.95009,0.66062,1.21977,0.76465,0.74985,0.76583,0.54685,0.51635,0.91525,0.59996,1.24105,0.003961,0.003961,0.003961
63,21250.2,0.94649,0.65843,1.22039,0.76533,0.74962,0.76635,0.54754,0.51675,0.91469,0.59912,1.24028,0.003862,0.003862,0.003862
64,21484.2,0.94808,0.65838,1.21804,0.7662,0.74947,0.76678,0.5483,0.51745,0.91421,0.5982,1.23952,0.003763,0.003763,0.003763
65,22491.9,0.94378,0.65545,1.21584,0.76821,0.74946,0.76766,0.54866,0.51816,0.91352,0.59715,1.23869,0.003664,0.003664,0.003664
66,22724.8,0.94552,0.65387,1.21688,0.76937,0.74916,0.76827,0.54897,0.51859,0.91285,0.59631,1.23787,0.003565,0.003565,0.003565
67,22960,0.94098,0.65023,1.21109,0.76933,0.74899,0.76886,0.54968,0.51905,0.91227,0.59554,1.23704,0.003466,0.003466,0.003466
68,23194.7,0.9411,0.6514,1.21299,0.77021,0.75028,0.76956,0.55005,0.51953,0.91169,0.59475,1.23625,0.003367,0.003367,0.003367
69,23420.5,0.94082,0.64801,1.21103,0.74531,0.75002,0.77019,0.55051,0.52021,0.91111,0.59388,1.23536,0.003268,0.003268,0.003268
70,23659.2,0.93711,0.64494,1.20984,0.74569,0.75048,0.77081,0.5512,0.52093,0.91059,0.59313,1.23455,0.003169,0.003169,0.003169
71,23890.4,0.93571,0.64461,1.20795,0.74496,0.75173,0.77114,0.55164,0.5214,0.91008,0.59228,1.23387,0.00307,0.00307,0.00307
72,24120.8,0.93304,0.64133,1.20755,0.74621,0.75149,0.77125,0.55279,0.52214,0.90972,0.59163,1.23323,0.002971,0.002971,0.002971
73,24601.3,0.93149,0.63865,1.20509,0.74624,0.75193,0.7722,0.55348,0.52268,0.90933,0.59069,1.23252,0.002872,0.002872,0.002872
74,24839.8,0.928,0.63546,1.20387,0.74769,0.75105,0.77291,0.55396,0.52333,0.90876,0.58995,1.23176,0.002773,0.002773,0.002773
75,25072.8,0.92751,0.63462,1.20339,0.7481,0.75177,0.7734,0.55475,0.52377,0.90832,0.58925,1.23097,0.002674,0.002674,0.002674
76,25302.1,0.92565,0.63097,1.20195,0.74923,0.7514,0.77376,0.5556,0.52445,0.90765,0.58855,1.23019,0.002575,0.002575,0.002575
77,25658.5,0.92546,0.63259,1.19988,0.74977,0.75087,0.77424,0.5557,0.52453,0.90718,0.58788,1.22951,0.002476,0.002476,0.002476
78,25896.6,0.92348,0.6261,1.20116,0.75109,0.75112,0.77493,0.55635,0.52515,0.90668,0.5873,1.22885,0.002377,0.002377,0.002377
