epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,33245.7,0.55187,0.58256,0.1499,0.67241,0.65754,0.65051,0.41622,0.4054,0.38033,0.63678,0.1503,0.006139,0.006139,0.006139
41,34074.1,0.71858,0.57116,0.1847,0.6753,0.65928,0.65256,0.41804,0.4072,0.38108,0.63544,0.15082,0.00604,0.00604,0.00604
42,34904,0.57669,0.57967,0.15649,0.67487,0.66254,0.65593,0.42298,0.40946,0.38061,0.63256,0.15087,0.005941,0.005941,0.005941
43,35734.5,0.59397,0.58442,0.15829,0.67651,0.65931,0.65644,0.42213,0.40991,0.37912,0.63216,0.15061,0.005842,0.005842,0.005842
44,36567,0.58107,0.57388,0.15011,0.67842,0.6605,0.65801,0.42424,0.41181,0.37695,0.63003,0.15047,0.005743,0.005743,0.005743
45,37397,0.58489,0.57787,0.15683,0.67672,0.66771,0.66056,0.42508,0.41253,0.37694,0.63011,0.15027,0.005644,0.005644,0.005644
46,38225.9,0.49907,0.56634,0.13791,0.67635,0.66781,0.6624,0.42527,0.41294,0.37929,0.6314,0.15042,0.005545,0.005545,0.005545
47,39054.4,0.66951,0.56123,0.17198,0.67661,0.67141,0.66484,0.42856,0.41537,0.37635,0.63074,0.14962,0.005446,0.005446,0.005446
48,39881.6,0.67127,0.5678,0.16911,0.67845,0.67067,0.66593,0.43054,0.41682,0.37478,0.62953,0.14964,0.005347,0.005347,0.005347
49,40710.9,0.46569,0.56241,0.12982,0.67946,0.67083,0.66702,0.43004,0.41805,0.37084,0.62686,0.149,0.005248,0.005248,0.005248
50,41537.5,0.57147,0.56506,0.15327,0.6771,0.67029,0.66476,0.42675,0.41468,0.37458,0.62667,0.14961,0.005149,0.005149,0.005149
51,42364.3,0.59904,0.57831,0.16022,0.67339,0.67044,0.66287,0.42075,0.41071,0.37914,0.62742,0.15033,0.00505,0.00505,0.00505
52,43192.9,0.5813,0.55748,0.14869,0.67139,0.66987,0.66132,0.41625,0.40699,0.38282,0.62819,0.15079,0.004951,0.004951,0.004951
53,44021.2,0.43434,0.55385,0.12636,0.67118,0.67066,0.66113,0.4141,0.40535,0.38475,0.6279,0.151,0.004852,0.004852,0.004852
